HOG,OG,Gene Tree Parent Clade,A_aulacocarpa_prot,A_thaliana_prot,A_trichopoda_prot,C_sativus_prot,E_grandis_prot,G_maderense_prot,G_raimondii_prot,H_annuus_prot,L_chinense_prot,L_siphilitica_prot,M_acuminata_prot,O_biennis_prot,O_sativa_prot,P_maritima_prot,P_persica_prot,P_trichocarpa_prot,S_lycopersicum_prot,S_noctiflora_prot,S_polyrhiza_prot,V_vinifera_prot
N1.HOG0000070,OG0000004,n343,0,0,4,5,13,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0
N1.HOG0000071,OG0000004,n372,1,0,2,1,1,0,2,2,0,2,1,0,1,2,1,0,1,0,1,1
N1.HOG0000072,OG0000004,n391,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
N1.HOG0000073,OG0000004,n418,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000074,OG0000004,n425,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
N1.HOG0000075,OG0000004,n427,1,0,1,0,18,1,22,19,0,8,7,8,46,5,14,22,22,1,0,5
N1.HOG0000076,OG0000005,n4,0,1,1,1,1,0,1,2,0,5,3,4,2,2,1,1,0,0,1,1
N1.HOG0000077,OG0000005,n31,0,3,1,1,1,1,3,2,0,2,4,3,3,3,3,3,0,0,2,6
N1.HOG0000078,OG0000005,n73,0,2,0,2,3,0,4,6,0,3,5,1,4,0,5,4,4,0,3,4
N1.HOG0000079,OG0000005,n124,0,1,1,1,1,0,2,1,0,0,3,0,1,0,1,2,1,0,1,1
N1.HOG0000080,OG0000005,n140,0,1,1,1,1,0,1,1,0,1,1,3,1,0,1,1,1,0,1,2
N1.HOG0000081,OG0000005,n158,0,1,0,3,2,0,2,4,0,4,2,1,1,2,3,3,3,0,4,4
N1.HOG0000082,OG0000005,n197,0,1,3,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,2,1
N1.HOG0000083,OG0000005,n213,0,4,0,3,3,2,4,2,0,3,5,3,3,1,5,4,3,0,4,6
N1.HOG0000084,OG0000005,n268,0,2,1,2,4,0,3,2,0,2,2,2,4,1,1,1,2,0,5,3
N1.HOG0000085,OG0000005,n304,0,7,1,16,13,1,10,14,0,10,15,4,14,5,16,12,11,1,20,17
N1.HOG0000086,OG0000005,n493,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1
N1.HOG0000087,OG0000005,n502,0,1,1,1,1,1,1,0,0,1,2,1,1,2,1,1,1,0,1,1
N1.HOG0000088,OG0000005,n520,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
N1.HOG0000089,OG0000006,n0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0
N1.HOG0000090,OG0000007,n3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N1.HOG0000091,OG0000007,n5,1,2,1,7,7,0,5,6,0,4,2,7,3,4,7,3,5,0,7,9
N1.HOG0000092,OG0000007,n84,0,0,4,0,0,0,0,3,0,0,3,0,1,1,0,0,0,0,0,0
N1.HOG0000093,OG0000007,n101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
N1.HOG0000094,OG0000007,n105,0,6,0,4,7,0,4,6,0,8,0,1,0,4,2,5,1,1,0,1
N1.HOG0000095,OG0000007,n155,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,2,0,0,0,1
N1.HOG0000096,OG0000007,n164,0,0,0,0,6,0,5,0,0,0,0,0,1,0,1,2,0,0,0,0
N1.HOG0000097,OG0000007,n180,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
N1.HOG0000098,OG0000007,n182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N1.HOG0000099,OG0000007,n183,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0
N1.HOG0000100,OG0000007,n188,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
N1.HOG0000101,OG0000007,n194,0,3,1,2,5,0,4,16,0,5,2,1,0,2,3,2,1,0,1,5
N1.HOG0000102,OG0000007,n248,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0
N1.HOG0000103,OG0000007,n254,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1
N1.HOG0000104,OG0000007,n258,0,1,3,2,2,0,2,1,0,2,1,0,1,0,1,2,7,0,0,1
N1.HOG0000105,OG0000007,n287,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1
N1.HOG0000106,OG0000007,n293,0,1,0,1,1,1,2,1,0,1,1,1,1,2,1,1,1,0,1,1
N1.HOG0000107,OG0000007,n316,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.HOG0000108,OG0000007,n320,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
N1.HOG0000109,OG0000007,n324,1,1,2,5,17,0,12,23,0,2,6,2,14,2,12,11,15,4,9,17
N1.HOG0000110,OG0000007,n478,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
N1.HOG0000111,OG0000008,n2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
N1.HOG0000112,OG0000008,n31,2,1,6,2,12,10,2,1,0,2,4,6,10,5,40,7,4,1,1,15
N1.HOG0000113,OG0000008,n159,0,5,5,8,2,0,3,1,0,0,2,0,0,0,3,0,0,0,0,1
N1.HOG0000114,OG0000008,n195,1,11,3,3,5,1,1,1,0,8,5,4,8,5,4,0,3,1,6,4
N1.HOG0000115,OG0000008,n268,0,0,2,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0
N1.HOG0000116,OG0000008,n275,0,3,1,3,3,1,4,6,0,3,3,3,4,2,2,7,6,0,0,3
N1.HOG0000117,OG0000008,n329,0,2,6,3,3,1,10,1,0,1,2,4,5,1,1,2,2,1,3,2
N1.HOG0000118,OG0000008,n379,1,1,1,1,1,0,2,1,0,0,2,1,1,1,1,1,1,0,1,1
N1.HOG0000119,OG0000008,n397,0,1,1,1,1,0,1,1,0,0,2,0,1,0,1,1,1,2,0,1
N1.HOG0000120,OG0000008,n411,0,1,1,1,1,1,2,2,0,0,3,3,2,0,1,2,2,1,1,3
N1.HOG0000121,OG0000008,n437,0,6,0,0,0,0,0,3,0,8,0,0,0,13,0,0,0,0,0,0
N1.HOG0000122,OG0000009,n3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
N1.HOG0000123,OG0000009,n5,0,0,0,0,0,1,1,0,0,0,3,0,19,0,1,4,0,0,16,0
N1.HOG0000124,OG0000009,n50,0,11,5,8,64,0,14,10,0,7,4,3,14,1,16,21,6,2,0,3
N1.HOG0000125,OG0000009,n238,0,0,1,0,7,2,4,0,0,0,3,0,15,2,16,21,3,0,8,3
N1.HOG0000126,OG0000009,n322,0,0,0,0,36,1,26,0,0,0,0,0,0,11,25,33,6,0,0,4
N1.HOG0000127,OG0000010,n2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,13,1,3,0,0,0
N1.HOG0000128,OG0000010,n25,0,0,1,2,66,0,42,14,0,4,0,0,0,0,15,28,4,2,0,0
N1.HOG0000129,OG0000010,n205,0,0,10,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2
N1.HOG0000130,OG0000010,n220,0,0,5,6,8,0,31,5,0,3,9,1,28,8,22,7,35,1,6,15
N1.HOG0000131,OG0000010,n431,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1
N1.HOG0000132,OG0000011,n6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000133,OG0000011,n8,0,4,0,3,4,1,6,3,0,3,9,2,1,2,3,6,4,0,2,3
N1.HOG0000134,OG0000011,n64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000135,OG0000011,n65,0,2,1,2,1,0,4,2,0,0,3,0,2,0,2,5,1,0,1,1
N1.HOG0000136,OG0000011,n91,0,2,1,2,2,0,3,2,0,1,7,0,0,0,1,0,3,0,1,1
N1.HOG0000137,OG0000011,n118,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
N1.HOG0000138,OG0000011,n120,0,1,1,2,2,0,4,1,0,0,2,1,0,0,2,4,3,0,0,2
N1.HOG0000139,OG0000011,n145,0,1,1,1,0,1,5,0,0,1,3,1,3,0,1,2,0,1,0,1
N1.HOG0000140,OG0000011,n166,1,0,1,1,1,0,2,1,0,1,4,0,1,2,1,2,1,0,2,1
N1.HOG0000141,OG0000011,n188,0,1,1,3,2,1,6,5,0,2,6,0,2,3,2,4,2,0,5,2
N1.HOG0000142,OG0000011,n237,1,4,1,6,3,0,10,2,0,3,12,1,4,1,3,6,5,0,4,3
N1.HOG0000143,OG0000011,n305,0,1,1,2,1,0,2,1,0,0,4,0,1,0,1,2,1,0,1,1
N1.HOG0000144,OG0000011,n324,1,2,1,2,2,0,5,4,0,1,6,1,3,0,2,2,1,0,3,1
N1.HOG0000145,OG0000011,n363,0,3,0,2,2,1,3,4,0,0,0,1,0,0,2,4,3,0,0,1
N1.HOG0000146,OG0000011,n390,0,0,1,1,1,0,0,0,0,0,4,0,1,0,1,1,0,0,3,1
N1.HOG0000147,OG0000011,n404,0,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000148,OG0000011,n411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
N1.HOG0000149,OG0000011,n412,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
N1.HOG0000150,OG0000012,n0,1,8,1,5,59,5,32,23,0,37,1,10,4,32,48,44,50,13,0,9
N1.HOG0000151,OG0000013,n0,0,2,2,5,96,1,42,41,0,9,26,8,6,2,33,52,9,0,5,31
N1.HOG0000152,OG0000014,n7,0,0,0,1,0,0,0,11,0,1,0,0,1,1,0,0,0,1,0,0
N1.HOG0000153,OG0000014,n23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000154,OG0000014,n31,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
N1.HOG0000155,OG0000014,n37,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000156,OG0000014,n55,0,0,1,0,0,0,0,83,0,1,0,0,0,1,0,0,0,0,0,0
N1.HOG0000157,OG0000014,n141,0,0,0,4,0,0,1,25,0,1,0,2,0,3,8,0,2,7,0,0
N1.HOG0000158,OG0000014,n197,0,0,0,0,0,0,0,55,0,0,0,0,1,1,1,0,0,1,0,0
N1.HOG0000159,OG0000014,n256,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N1.HOG0000160,OG0000014,n258,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000161,OG0000014,n263,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
N1.HOG0000162,OG0000014,n267,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000163,OG0000014,n275,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0
N1.HOG0000164,OG0000014,n286,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0
N1.HOG0000165,OG0000014,n305,0,0,1,0,0,0,0,27,0,0,0,0,1,0,1,0,0,0,0,0
N1.HOG0000166,OG0000014,n334,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
N1.HOG0000167,OG0000015,n2,0,4,0,1,4,0,8,1,0,2,2,1,1,1,3,4,5,0,3,1
N1.HOG0000168,OG0000015,n43,0,21,2,32,24,0,46,29,0,6,2,0,3,0,33,29,34,1,4,27
N1.HOG0000169,OG0000015,n335,0,1,1,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0
N1.HOG0000170,OG0000016,n1,0,0,1,1,0,0,1,23,0,0,0,3,0,0,0,0,0,3,0,0
N1.HOG0000171,OG0000016,n33,0,0,0,6,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
N1.HOG0000172,OG0000016,n45,0,0,1,0,0,0,0,125,0,1,0,0,0,0,0,2,0,0,0,0
N1.HOG0000173,OG0000016,n173,0,0,0,0,0,0,1,161,0,0,0,5,0,0,0,0,0,1,0,1
N1.HOG0000174,OG0000017,n4,0,2,1,1,1,11,2,2,0,1,0,1,0,0,1,3,2,1,0,1
N1.HOG0000175,OG0000017,n35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
N1.HOG0000176,OG0000017,n37,0,1,1,1,1,1,1,0,0,1,1,4,2,1,1,1,2,0,2,1
N1.HOG0000177,OG0000017,n59,0,3,1,2,4,0,5,4,0,2,3,0,6,0,3,3,3,0,8,9
N1.HOG0000178,OG0000017,n118,0,3,2,3,4,0,3,5,0,3,6,1,4,4,2,4,2,0,1,2
N1.HOG0000179,OG0000017,n168,0,1,1,1,1,0,1,1,0,2,1,0,1,0,1,2,1,2,0,1
N1.HOG0000180,OG0000017,n184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N1.HOG0000181,OG0000017,n187,0,1,1,1,1,0,2,1,0,1,2,0,2,1,1,2,1,0,1,1
N1.HOG0000182,OG0000017,n205,0,3,1,2,2,0,3,4,0,2,3,1,1,0,3,4,4,1,1,2
N1.HOG0000183,OG0000017,n241,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0
N1.HOG0000184,OG0000017,n251,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000185,OG0000017,n254,0,1,3,1,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,2
N1.HOG0000186,OG0000017,n269,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
N1.HOG0000187,OG0000017,n278,0,6,1,2,5,0,3,16,0,3,3,0,1,0,6,5,2,0,2,5
N1.HOG0000188,OG0000018,n1,0,0,5,0,1,0,1,1,0,1,2,1,4,0,1,1,1,0,0,1
N1.HOG0000189,OG0000018,n20,2,27,2,24,31,2,39,16,0,8,7,7,8,6,36,64,20,4,2,15
N1.HOG0000190,OG0000019,n1,0,7,0,9,10,5,9,0,0,7,1,9,7,5,14,14,10,2,1,6
N1.HOG0000191,OG0000019,n119,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0
N1.HOG0000192,OG0000019,n133,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1
N1.HOG0000193,OG0000019,n140,0,3,0,3,5,4,6,1,0,6,0,7,0,6,6,9,4,0,0,6
N1.HOG0000194,OG0000019,n207,1,2,0,1,17,3,5,2,0,6,6,3,18,15,13,9,18,2,4,1
N1.HOG0000195,OG0000020,n3,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0
N1.HOG0000196,OG0000020,n19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
N1.HOG0000197,OG0000020,n23,0,0,2,0,0,0,4,0,0,1,0,6,0,22,2,0,0,0,0,2
N1.HOG0000198,OG0000020,n61,0,1,29,1,1,0,1,2,0,1,0,0,0,0,1,0,1,0,0,1
N1.HOG0000199,OG0000020,n99,0,0,0,0,0,0,0,5,0,15,2,0,14,0,0,0,10,5,6,0
N1.HOG0000200,OG0000020,n157,0,0,0,22,4,2,1,0,0,0,0,1,0,0,1,15,0,1,0,0
N1.HOG0000201,OG0000020,n203,0,2,1,12,14,3,17,2,0,25,0,6,4,7,15,7,1,0,1,6
N1.HOG0000202,OG0000021,n1,1,2,1,3,2,1,5,6,0,3,5,2,2,3,2,4,3,1,3,2
N1.HOG0000203,OG0000021,n53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
N1.HOG0000204,OG0000021,n57,0,0,1,2,4,0,5,3,0,1,2,1,3,0,2,6,2,0,2,3
N1.HOG0000205,OG0000021,n93,0,3,1,3,3,1,6,12,0,4,4,2,1,4,3,4,5,0,2,3
N1.HOG0000206,OG0000021,n155,0,3,1,3,3,3,8,5,0,2,7,3,4,3,2,4,4,0,2,2
N1.HOG0000207,OG0000021,n217,1,2,1,1,2,0,4,0,0,2,15,3,3,1,2,4,0,0,4,2
N1.HOG0000208,OG0000021,n264,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000209,OG0000021,n266,0,1,1,1,1,0,3,1,0,0,2,1,1,0,1,2,1,0,1,1
N1.HOG0000210,OG0000021,n284,0,2,1,3,2,2,4,1,0,2,7,2,1,2,2,4,3,0,0,2
N1.HOG0000211,OG0000021,n323,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.HOG0000212,OG0000022,n3,0,0,1,2,2,0,4,2,0,1,0,1,0,0,2,2,0,0,0,1
N1.HOG0000213,OG0000022,n22,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,1
N1.HOG0000214,OG0000022,n30,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
N1.HOG0000215,OG0000022,n35,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
N1.HOG0000216,OG0000022,n39,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
N1.HOG0000217,OG0000022,n49,0,2,1,1,4,0,6,4,0,1,4,0,14,3,1,3,2,0,1,2
N1.HOG0000218,OG0000022,n100,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,2,0,0,1,1
N1.HOG0000219,OG0000022,n113,0,1,1,0,1,0,1,1,0,2,2,1,1,0,1,2,2,1,1,0
N1.HOG0000220,OG0000022,n130,0,6,1,2,4,0,2,0,0,0,0,0,0,0,2,1,6,0,0,2
N1.HOG0000221,OG0000022,n156,0,0,1,1,1,0,0,1,0,2,1,0,2,1,4,2,0,0,1,1
N1.HOG0000222,OG0000022,n173,0,5,1,5,6,0,9,13,0,2,7,2,1,2,4,5,7,0,2,3
N1.HOG0000223,OG0000022,n246,0,5,1,5,5,0,7,7,0,3,6,5,2,2,3,6,4,0,3,5
N1.HOG0000224,OG0000022,n315,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
N1.HOG0000225,OG0000022,n316,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0,0,3,0,0,0
N1.HOG0000226,OG0000023,n1,0,1,0,2,3,0,2,2,0,0,2,1,2,2,2,2,1,0,7,7
N1.HOG0000227,OG0000023,n38,0,6,0,2,23,4,3,1,0,2,0,4,0,0,14,18,9,0,0,12
N1.HOG0000228,OG0000023,n136,1,9,11,8,20,1,16,23,0,2,16,7,24,5,9,8,11,2,1,15
